City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
210,Morant Bay,JM,2022-04-02 20:40:28,17.8815,-76.4093,88.72,74,31,11.5,scattered clouds
211,Mahajanga,MG,2022-04-02 20:40:28,-15.7167,46.3167,75.22,94,20,2.3,few clouds
212,Inuvik,CA,2022-04-02 20:40:28,68.3499,-133.7218,-8.54,64,20,8.05,few clouds
213,Namibe,AO,2022-04-02 20:40:29,-15.1961,12.1522,71.22,83,100,3.53,overcast clouds
214,Caluquembe,AO,2022-04-02 20:40:29,-13.7833,14.6833,62.08,96,100,1.92,moderate rain
215,Karratha,AU,2022-04-02 20:40:29,-20.7377,116.8463,80.24,80,0,6.73,clear sky
216,Avarua,CK,2022-04-02 20:40:29,-21.2078,-159.775,82.45,74,75,5.75,broken clouds
217,Port Moresby,PG,2022-04-02 20:40:30,-9.4431,147.1797,72.82,100,20,3.44,light rain
218,Palasa,IN,2022-04-02 20:40:30,18.7667,84.4167,76.98,92,4,9.71,clear sky
219,Keti Bandar,PK,2022-04-02 20:40:30,24.1447,67.4497,78.19,69,0,12.57,clear sky
220,Nanga Eboko,CM,2022-04-02 20:40:31,4.6833,12.3667,79.21,58,100,6.98,overcast clouds
221,Cabinda,AO,2022-04-02 20:40:31,-5.55,12.2,77.86,92,100,5.99,light rain
222,Hobyo,SO,2022-04-02 20:40:31,5.3505,48.5268,81.45,73,42,10.78,scattered clouds
223,Upernavik,GL,2022-04-02 20:40:32,72.7868,-56.1549,12.61,95,92,12.5,overcast clouds
224,La Rioja,ES,2022-04-02 20:40:32,42.25,-2.5,31.78,98,91,3.83,overcast clouds
225,Roma,US,2022-04-02 20:39:34,43.2128,-75.4557,47.52,39,0,11.5,clear sky
226,Maceio,BR,2022-04-02 20:41:32,-9.6658,-35.7353,83.64,65,0,11.5,clear sky
227,Egvekinot,RU,2022-04-02 20:41:33,66.3167,-179.1667,-6.09,86,20,14.54,few clouds
228,Saldanha,ZA,2022-04-02 20:41:33,-33.0117,17.9442,66.25,73,0,14.94,clear sky
229,Miles City,US,2022-04-02 20:41:33,46.4083,-105.8406,58.17,23,0,4.61,clear sky
230,Natal,BR,2022-04-02 20:39:48,-5.795,-35.2094,84.42,74,20,13.8,few clouds
231,Maniitsoq,GL,2022-04-02 20:41:34,65.4167,-52.9,31.28,87,100,5.41,overcast clouds
232,Taltal,CL,2022-04-02 20:40:20,-25.4,-70.4833,66.27,67,23,3.67,few clouds
233,Ikalamavony,MG,2022-04-02 20:41:34,-21.15,46.5833,61.25,75,0,5.01,clear sky
234,Ulagan,RU,2022-04-02 20:41:34,50.6321,87.9563,24.82,91,82,3.24,broken clouds
235,Vila Velha,BR,2022-04-02 20:41:35,-20.3297,-40.2925,84.15,80,20,12.66,few clouds
236,Kamina,CD,2022-04-02 20:41:35,-8.7386,24.9906,65.28,93,89,2.35,overcast clouds
237,Port Hedland,AU,2022-04-02 20:41:35,-20.3167,118.5667,80.65,78,55,9.22,broken clouds
238,Bethel,US,2022-04-02 20:41:36,41.3712,-73.414,55.02,38,0,8.05,clear sky
239,Jeremie,HT,2022-04-02 20:41:36,18.65,-74.1167,80.37,73,45,4.12,scattered clouds
240,Delvada,IN,2022-04-02 20:41:36,20.7667,71.0333,75.25,77,0,10.89,clear sky
241,Rexburg,US,2022-04-02 20:41:36,43.826,-111.7897,60.31,24,20,21.85,few clouds
242,Berlevag,NO,2022-04-02 20:41:37,70.8578,29.0864,21.0,89,100,19.19,light snow
243,Kuala Terengganu,MY,2022-04-02 20:41:37,5.3302,103.1408,78.75,89,67,0.0,broken clouds
244,Poum,NC,2022-04-02 20:41:37,-20.2333,164.0167,81.61,81,100,5.93,overcast clouds
245,Codajas,BR,2022-04-02 20:41:38,-3.8367,-62.0569,75.4,92,100,3.22,overcast clouds
246,Okahandja,NA,2022-04-02 20:41:38,-21.9833,16.9167,70.74,42,79,6.04,broken clouds
247,Port-Gentil,GA,2022-04-02 20:41:38,-0.7193,8.7815,80.04,76,92,4.68,overcast clouds
248,Segezha,RU,2022-04-02 20:41:39,63.7415,34.3222,15.6,94,100,5.3,overcast clouds
249,Pirojpur,BD,2022-04-02 20:41:39,22.5667,89.9833,76.55,93,51,5.1,broken clouds
250,Talnakh,RU,2022-04-02 20:41:39,69.4865,88.3972,4.21,97,100,5.1,overcast clouds
251,Broken Hill,AU,2022-04-02 20:41:39,-31.95,141.4333,49.71,66,15,0.0,few clouds
252,La Tuque,CA,2022-04-02 20:41:40,47.4334,-72.7824,39.45,33,77,11.5,broken clouds
253,Noumea,NC,2022-04-02 20:38:37,-22.2763,166.4572,82.0,99,74,12.15,broken clouds
254,Verkhniy Ufaley,RU,2022-04-02 20:41:40,56.0567,60.2306,33.67,100,100,2.8,light snow
255,Turukhansk,RU,2022-04-02 20:41:40,65.8167,87.9833,-3.55,100,90,2.39,overcast clouds
256,Lavrentiya,RU,2022-04-02 20:38:35,65.5833,-171.0,9.32,73,1,13.31,clear sky
